Date,Company Name,Source,Location,State,Designation,Email,Contact Number,Contact Number OF,Internship/Job,Paid,Type Of Work
06-03-2025,Cosmo Infrasolution Pvt Ltd,https://cutshort.io/search-jobs?free_text=chartered+Accountant+rajasthan+,Jaipur,Rajasthan,Senior Accountant,hr@cosmoinfrasolutions.com,1415177804,Human Resources Manager,Job,Paid,Offline
06-03-2025,FoxCabs,https://cutshort.io/search-jobs?free_text=chartered+Accountant+rajasthan+,Jaipur,Rajasthan,Accountant,info@foxcabs.in,7300000900,Human Resources Manager,Job,Paid,Offline
06-03-2025,Highfly Sourcing,https://cutshort.io/search-jobs?free_text=chartered+Accountant+rajasthan+,Jaipur,Rajasthan,Senior Accountant,info@highflysourcing.com,9310765952,Human Resources Manager,Job,Paid,Offline
06-03-2025,GLOBAL LANCERS,https://cutshort.io/search-jobs?free_text=chartered+Accountant+rajasthan+,Jaipur,Rajasthan,Junior Accountant,hr@lancersglobal.com,9529708616,Human Resources Manager,Job,Paid,Offline
06-03-2025,Athrava organisation,https://www.naukri.com/job-listings-fresher-marketing-executive-apply-now-atharva-organisation-jaipur-0-to-2-years-141124003181?src=sharedjd&utmCampaign=pwajd&utmSource=share,Jaipur,Rajasthan,Marketing executive,hr.atharva12@gmail.com,9257361392,Company,Job,Paid,Offline
06-03-2025,Paladin organisation,https://www.naukri.com/job-listings-fresher-marketing-executive-apply-now-paladin-organisation-jaipur-0-to-2-years-140225018006?src=sharedjd&utmCampaign=pwajd&utmSource=share,Jaipur,Rajasthan,Marketing executive,hr@paladinorg.com,7728803189,Company,Job,Paid,Offline
06-03-2025,E apps cube,https://www.naukri.com/job-listings-sales-and-marketing-executive-e-apps-cube-udaipur-0-to-2-years-190225016795?src=sharedjd&utmCampaign=pwajd&utmSource=share,Udaipur,Rajasthan,Sales and marketing executive,NA,NA,NA,Job,Paid,Offline
06-03-2025,Shartra technology,https://www.naukri.com/job-listings-seo-marketing-executive-shartratechnology-jaipur-0-to-2-years-190821501256?src=searchFormUsage&xp=4&sid=17412275766706132&px=1,Jaipur,Rajasthan,SEO markting executive,info@shartratechnology.com,7903927368,Company,Job,Paid,Offline
06-03-2025,Diamond capfin,https://www.naukri.com/job-listings-marketing-executives-diamond-capfin-pvt-ltd-jaipur-0-to-2-years-030424501623?src=sharedjd&utmCampaign=pwajd&utmSource=share,Jaipur,Rajasthan,Marketing executive,NA,9001299899,Company,Job,Paid,Offline
06-03-2025,Startbit IT,https://www.naukri.com/job-listings-marketing-intern-startbit-it-solutions-pvt-ltd-jaipur-0-to-1-years-030325503959?src=sharedjd&utmCampaign=pwajd&utmSource=share,Jaipur,Rajasthan,Marketing intern,info@startbitsolutions.com,9829541546,Company,Internship,Unpaid,Offline
06-03-2025,Fusion business solution,https://www.naukri.com/job-listings-digital-marketing-account-manager-fusion-business-solutions-udaipur-4-to-9-years-080724007360?src=sharedjd&utmCampaign=pwajd&utmSource=share,Udaipur,Rajasthan,Digital marketing,NA,2409790061,Company,Job,Paid,Offline
06-03-2025,Career hollic,https://www.naukri.com/job-listings-social-media-marketer-career-hollic-jaipur-1-to-4-years-050325500634?src=sharedjd&utmCampaign=pwajd&utmSource=share,Jaipur,Rajasthan,Social media marketer,jobs@careerhollic.com,1414002809,Company,Internship,Unpaid,Offline
06-03-2025,S R tradelink,https://www.naukri.com/job-listings-digital-marketing-executive-s-r-tradelink-jodhpur-jodhpur-0-to-3-years-190225026206?src=sharedjd&utmCampaign=pwajd&utmSource=share,Jodhpur,Rajasthan,Digital marketing executive,NA,8048963030,Company,Job,Paid,Offline
06-03-2025,WIPL,https://www.naukri.com/job-listings-marketing-trainee-wipl-jaipur-0-to-1-years-181024504339?src=sharedjd&utmCampaign=pwajd&utmSource=share,Jaipur,Rajasthan,Marketing trainee,sales@wiplon.com,7272828200,Company,Internship,Unpaid,Offline
,,,,,,,,,,,
